level,name,path,branchId,href
"4","Sunroof, components","Body, car glass > Body frame, frame, roof, bottom, side panels > Roof, sunroof > Sunroof, components","1097","#/schemas?catalogId=toyota&carId=e7d85f26096e62e1043384648ec63342&criteria=62%2aJTMDF9EV5DD037942%21c16f6b53%24540W%7DZ07%5E4%3CFA40%3E1F7&q=JTMDF9EV5DD037942&branchId=1097"
"3","Side body parts, dividers, tail gates","Body, car glass > Body frame, frame, roof, bottom, side panels > Side body parts, dividers, tail gates","1092","#/schemas?catalogId=toyota&carId=e7d85f26096e62e1043384648ec63342&criteria=62%2aJTMDF9EV5DD037942%21c16f6b53%24540W%7DZ07%5E4%3CFA40%3E1F7&q=JTMDF9EV5DD037942&branchId=1092"
"4","Side member","Body, car glass > Body frame, frame, roof, bottom, side panels > Side body parts, dividers, tail gates > Side member","MPCfm7BNaVB3bjVxQU1EQXo4Si1hZ1RZeE5EVXhOMEnwn5CTMTA5Mg","#/schemas?catalogId=toyota&carId=e7d85f26096e62e1043384648ec63342&criteria=62%2aJTMDF9EV5DD037942%21c16f6b53%24540W%7DZ07%5E4%3CFA40%3E1F7&q=JTMDF9EV5DD037942&branchId=MPCfm7BNaVB3bjVxQU1EQXo4Si1hZ1RZeE5EVXhOMEnwn5CTMTA5Mg"
"4","Wiring & Clamp","Body, car glass > Body frame, frame, roof, bottom, side panels > Side body parts, dividers, tail gates > Wiring & Clamp","MPCfm7BNaVB3bjVxQU1EQTA4Si1hZ1RneVFqRXlORUnwn5CTMTA5Mg","#/schemas?catalogId=toyota&carId=e7d85f26096e62e1043384648ec63342&criteria=62%2aJTMDF9EV5DD037942%21c16f6b53%24540W%7DZ07%5E4%3CFA40%3E1F7&q=JTMDF9EV5DD037942&branchId=MPCfm7BNaVB3bjVxQU1EQTA4Si1hZ1RneVFqRXlORUnwn5CTMTA5Mg"
"3","Spare wheel bottom, floor, well","Body, car glass > Body frame, frame, roof, bottom, side panels > Spare wheel bottom, floor, well","1006","#/schemas?catalogId=toyota&carId=e7d85f26096e62e1043384648ec63342&criteria=62%2aJTMDF9EV5DD037942%21c16f6b53%24540W%7DZ07%5E4%3CFA40%3E1F7&q=JTMDF9EV5DD037942&branchId=1006"
"3","Body frame, frame, longeron","Body, car glass > Body frame, frame, roof, bottom, side panels > Body frame, frame, longeron","1088","#/schemas?catalogId=toyota&carId=e7d85f26096e62e1043384648ec63342&criteria=62%2aJTMDF9EV5DD037942%21c16f6b53%24540W%7DZ07%5E4%3CFA40%3E1F7&q=JTMDF9EV5DD037942&branchId=1088"
"2","Fuel tank cap, components","Body, car glass > Fuel tank cap, components","804","#/schemas?catalogId=toyota&carId=e7d85f26096e62e1043384648ec63342&criteria=62%2aJTMDF9EV5DD037942%21c16f6b53%24540W%7DZ07%5E4%3CFA40%3E1F7&q=JTMDF9EV5DD037942&branchId=804"
"2","Trunk lid, door","Body, car glass > Trunk lid, door","802","#/schemas?catalogId=toyota&carId=e7d85f26096e62e1043384648ec63342&criteria=62%2aJTMDF9EV5DD037942%21c16f6b53%24540W%7DZ07%5E4%3CFA40%3E1F7&q=JTMDF9EV5DD037942&branchId=802"
"2","Headlight, windshield wiper","Body, car glass > Headlight, windshield wiper","860","#/schemas?catalogId=toyota&carId=e7d85f26096e62e1043384648ec63342&criteria=62%2aJTMDF9EV5DD037942%21c16f6b53%24540W%7DZ07%5E4%3CFA40%3E1F7&q=JTMDF9EV5DD037942&branchId=860"
"3","Windshield washer: sensors, relays, valves, units, switches","Body, car glass > Headlight, windshield wiper > Windshield washer: sensors, relays, valves, units, switches","888","#/schemas?catalogId=toyota&carId=e7d85f26096e62e1043384648ec63342&criteria=62%2aJTMDF9EV5DD037942%21c16f6b53%24540W%7DZ07%5E4%3CFA40%3E1F7&q=JTMDF9EV5DD037942&branchId=888"
