id,parent_id,level,name,path,branchId,href
153,127.0,2,Front and rear axle,"Transmission, gearbox > Front and rear axle",1292,#/schemas?catalogId=toyota&carId=e7d85f26096e62e1043384648ec63342&criteria=62%2aJTMDF9EV5DD037942%21c16f6b53%24540W%7DZ07%5E4%3CFA40%3E1F7&q=JTMDF9EV5DD037942&branchId=1292
154,,1,"Wheels, tyres","Wheels, tyres",550,#/schemas?catalogId=toyota&carId=e7d85f26096e62e1043384648ec63342&criteria=62%2aJTMDF9EV5DD037942%21c16f6b53%24540W%7DZ07%5E4%3CFA40%3E1F7&q=JTMDF9EV5DD037942&branchId=550
155,154.0,2,"Wheel, stamped, alloy","Wheels, tyres > Wheel, stamped, alloy",794,#/schemas?catalogId=toyota&carId=e7d85f26096e62e1043384648ec63342&criteria=62%2aJTMDF9EV5DD037942%21c16f6b53%24540W%7DZ07%5E4%3CFA40%3E1F7&q=JTMDF9EV5DD037942&branchId=794
156,155.0,3,Disc wheel & Wheel cap,"Wheels, tyres > Wheel, stamped, alloy > Disc wheel & Wheel cap",MPCfm7BNaVB3bjVxQU1EQXk4Si1hZ1RReE16ZzVNMFnwn5CTNzk0,#/schemas?catalogId=toyota&carId=e7d85f26096e62e1043384648ec63342&criteria=62%2aJTMDF9EV5DD037942%21c16f6b53%24540W%7DZ07%5E4%3CFA40%3E1F7&q=JTMDF9EV5DD037942&branchId=MPCfm7BNaVB3bjVxQU1EQXk4Si1hZ1RReE16ZzVNMFnwn5CTNzk0
157,154.0,2,Tyres,"Wheels, tyres > Tyres",795,#/schemas?catalogId=toyota&carId=e7d85f26096e62e1043384648ec63342&criteria=62%2aJTMDF9EV5DD037942%21c16f6b53%24540W%7DZ07%5E4%3CFA40%3E1F7&q=JTMDF9EV5DD037942&branchId=795
158,157.0,3,Disc wheel & Wheel cap,"Wheels, tyres > Tyres > Disc wheel & Wheel cap",MPCfm7BNaVB3bjVxQU1EQXk4Si1hZ1RReE16ZzVNMFnwn5CTNzk1,#/schemas?catalogId=toyota&carId=e7d85f26096e62e1043384648ec63342&criteria=62%2aJTMDF9EV5DD037942%21c16f6b53%24540W%7DZ07%5E4%3CFA40%3E1F7&q=JTMDF9EV5DD037942&branchId=MPCfm7BNaVB3bjVxQU1EQXk4Si1hZ1RReE16ZzVNMFnwn5CTNzk1
159,,1,Steering,Steering,556,#/schemas?catalogId=toyota&carId=e7d85f26096e62e1043384648ec63342&criteria=62%2aJTMDF9EV5DD037942%21c16f6b53%24540W%7DZ07%5E4%3CFA40%3E1F7&q=JTMDF9EV5DD037942&branchId=556
160,159.0,2,"Steering sensors, units, valves, controllers","Steering > Steering sensors, units, valves, controllers",941,#/schemas?catalogId=toyota&carId=e7d85f26096e62e1043384648ec63342&criteria=62%2aJTMDF9EV5DD037942%21c16f6b53%24540W%7DZ07%5E4%3CFA40%3E1F7&q=JTMDF9EV5DD037942&branchId=941
161,159.0,2,Steering wheel,Steering > Steering wheel,922,#/schemas?catalogId=toyota&carId=e7d85f26096e62e1043384648ec63342&criteria=62%2aJTMDF9EV5DD037942%21c16f6b53%24540W%7DZ07%5E4%3CFA40%3E1F7&q=JTMDF9EV5DD037942&branchId=922
162,159.0,2,Steering column,Steering > Steering column,923,#/schemas?catalogId=toyota&carId=e7d85f26096e62e1043384648ec63342&criteria=62%2aJTMDF9EV5DD037942%21c16f6b53%24540W%7DZ07%5E4%3CFA40%3E1F7&q=JTMDF9EV5DD037942&branchId=923
